player_name,player_id,player_id_enc,first_game,last_game,career_games,career_wins,career_losses,final_elo,peak_elo,min_elo
V-Gundam,333,242,1999-09-25,2005-01-31,292.0,141.0,151.0,1325.439592613659,1480.436889223119,1180.4758553352988
[z-zone]Khan,895,705,1999-09-25,2001-01-09,21.0,6.0,15.0,1060.2151977752926,1228.8308864430164,1060.2151977752926
GGMAN,347,256,1999-09-25,2006-03-28,174.0,86.0,88.0,1198.2405906678848,1373.9167770435838,1198.1499636986339
resisa,576,398,1999-09-25,2003-10-09,21.0,7.0,14.0,1069.7522038962168,1238.4562329225919,1069.7522038962168
TheBOy,235,228,1999-09-25,2004-04-03,142.0,57.0,85.0,1005.6607019665364,1453.1559913699607,1005.6607019665364
SKELTON,393,302,1999-10-02,2005-04-09,126.0,55.0,71.0,1140.921315901708,1415.7333572672428,1140.921315901708
Freemura,431,340,1999-10-02,2004-04-26,60.0,29.0,31.0,1187.0696765271966,1470.1504890769434,1200.0
Neo(E)Protoss,437,346,1999-10-02,2001-02-02,16.0,6.0,10.0,1138.5679565627308,1237.3082526807987,1138.5679565627308
Feel_LOVE,435,344,1999-10-02,2000-12-24,18.0,6.0,12.0,1083.8843954857177,1268.0369150629083,1083.8843954857177
Kill,432,341,1999-10-09,2000-03-31,22.0,7.0,15.0,1105.2890991542035,1239.675946700476,1137.050770304794
SSamJang,403,312,1999-10-09,2004-09-02,137.0,52.0,85.0,1051.6116995232637,1399.3133578044462,1051.6116995232637
[B_Blade]Lea..,420,329,1999-10-09,2002-07-06,16.0,7.0,9.0,1137.194636275238,1310.7187262300638,1137.194636275238
SavageKR,419,328,1999-10-09,2000-02-11,8.0,3.0,5.0,1142.7039639351685,1260.3993594450324,1142.7039639351685
TAENI,394,303,1999-10-02,2002-04-06,16.0,3.0,13.0,1074.9266856417255,1203.0652418485458,1074.9266856417255
RandomParkSa,436,345,1999-10-09,2001-02-06,33.0,20.0,13.0,1379.2899407019606,1404.576276492385,1165.5165942515275
Grrrr...,237,230,2000-01-01,2004-04-20,349.0,177.0,172.0,1235.0181924646154,1502.9229770951445,1200.0
October,434,343,1999-10-09,2001-01-21,21.0,5.0,16.0,1101.3051005934465,1200.0,1101.3051005934465
TheMarine,234,227,2000-01-01,2006-03-28,606.0,341.0,265.0,1296.3821098794194,1613.4462423409325,1174.6060978744256
BoxeR,225,218,2000-01-01,2010-08-14,971.0,549.0,422.0,1276.230846039567,1609.6766223819923,1182.3729884754925
[z-zone]Byun,410,319,2000-01-01,2001-11-18,124.0,71.0,53.0,1279.693428687167,1503.688244759763,1200.0
GiSaDo,418,327,2000-02-11,2003-04-16,40.0,17.0,23.0,1179.2805525542783,1378.808292658974,1197.0016558524092
DoGGi,47,45,2000-02-11,2007-11-20,339.0,158.0,181.0,1216.7855003283996,1469.0062754203009,1132.5514509228824
H.O.T-Forever,228,221,2000-02-11,2009-12-02,471.0,258.0,213.0,1149.008110821016,1611.2576295132546,1149.008110821016
StarBoy,441,350,2000-01-01,2002-02-20,19.0,7.0,12.0,1111.3035557918347,1280.7841372130338,1111.3035557918347
JoyO,345,254,2000-02-11,2008-10-03,218.0,91.0,127.0,1098.6331110246103,1433.9017515571147,1098.6331110246103
GARIMTO,36,35,2000-02-11,2007-11-20,232.0,128.0,104.0,1145.9914763252116,1581.226840743991,1145.9914763252116
Marine,371,280,2000-02-11,2002-01-03,98.0,51.0,47.0,1330.4811971750453,1430.3546885681362,1192.5688173864341
WooCHul,898,708,2000-02-11,2000-04-04,8.0,4.0,4.0,1230.0272506599604,1244.164764198135,1187.2892440842822
JaeChun,897,707,2000-02-11,2000-02-11,3.0,1.0,2.0,1163.2444707451973,1232.0,1163.2444707451973
ChRh,226,219,2000-02-11,2009-12-01,519.0,273.0,246.0,1129.6403887952833,1537.7861628986177,1129.6403887952833
Aozora,402,311,2000-02-11,2003-03-14,56.0,20.0,36.0,1078.8342793871475,1323.585405400758,1095.6413516304556
solarSUN,385,294,2000-02-11,2001-06-25,10.0,6.0,4.0,1270.2936377536303,1300.3092734160543,1200.0
NPGL_SoulKey,401,310,2000-02-11,2002-09-25,28.0,10.0,18.0,1071.4716267268545,1300.6622541919292,1071.4716267268545
KIMDONGWOO,367,276,2000-02-11,2003-07-03,111.0,51.0,60.0,1214.9106948815456,1400.3688498327788,1184.3749600477006
Elite,893,703,2000-02-11,2001-06-27,18.0,8.0,10.0,1169.8192489585783,1266.7374910436845,1169.8192489585783
Pillars,534,358,2000-02-11,2000-03-22,8.0,5.0,3.0,1259.2327518763157,1292.3597565963594,1168.0
YouSung,892,702,2000-02-11,2000-02-11,5.0,2.0,3.0,1188.5681810300239,1235.4621435506901,1188.5681810300239
[n2]Rookie,398,307,1999-09-25,2002-06-25,102.0,38.0,64.0,1137.040899427985,1385.207115616552,1137.040899427985
Sinji_NT,382,291,2000-02-11,2005-04-09,160.0,60.0,100.0,1101.6661889336485,1340.584004570524,1101.6661889336485
Lim,439,348,2000-02-11,2001-08-01,22.0,10.0,12.0,1164.162353782528,1347.5325895305111,1164.162353782528
Love,388,297,2000-02-11,2005-07-08,174.0,63.0,111.0,1125.4384252030648,1327.5664324358177,1125.4384252030648
nO.1,400,309,2000-02-22,2003-03-20,127.0,53.0,74.0,1168.0098839072432,1358.081630681444,1151.8068962808131
St.Eagle,369,278,2000-01-01,2002-01-28,107.0,52.0,55.0,1290.763349088056,1425.853122698775,1196.930645073555
IntoTheRain,238,231,2000-01-01,2009-12-02,312.0,158.0,154.0,1205.47130729072,1501.871760685789,1147.8260788519588
eVERLAST,440,349,1999-10-09,2002-03-31,19.0,2.0,17.0,1020.2801510732769,1200.0,1020.2801510732769
Knight_SEAL,879,689,2000-06-07,2001-06-05,8.0,2.0,6.0,1112.854487921839,1232.0,1112.854487921839
Zeus,198,192,2000-06-07,2008-12-12,562.0,279.0,283.0,1174.9518353535773,1548.4297162587986,1174.9518353535773
ZiZi,735,549,2000-06-07,2005-01-17,22.0,6.0,16.0,1068.1693141957164,1232.127606165302,1068.1693141957164
RinG,849,661,2000-01-23,2001-10-01,63.0,30.0,33.0,1186.369720754372,1321.7581322207175,1181.6359688516047
JinWook,885,695,2000-06-07,2000-10-13,7.0,3.0,4.0,1179.7697851713501,1232.0,1139.7543446482614
Han.G)FlyinG,426,335,2000-06-14,2002-04-06,75.0,36.0,39.0,1175.1024715732683,1401.7127107279457,1195.8389897786815
daehooon,920,730,2000-06-14,2000-06-28,2.0,2.0,0.0,1262.694326621973,1262.694326621973,1200.0
Daeyoung,921,731,2000-06-14,2000-10-05,3.0,2.0,1.0,1239.9541050901064,1244.2598870737208,1200.0
HyunIl,887,697,2000-06-21,2000-07-20,4.0,1.0,3.0,1137.7011966156108,1234.939003057951,1137.7011966156108
GGon,61,59,2000-06-21,2006-11-15,271.0,125.0,146.0,1191.8199431246594,1428.9778102887435,1172.4304764734595
Siluet,838,652,2000-06-22,2002-03-31,26.0,10.0,16.0,1112.3528612051127,1283.3593441680896,1112.3528612051127
GameR,387,296,2000-06-22,2002-08-03,61.0,34.0,27.0,1287.046947088068,1411.0462234747556,1129.4036088162231
Bassy,429,338,2000-06-25,2002-03-31,76.0,33.0,43.0,1178.8961210767595,1416.6928951129732,1178.8961210767595
Niza,327,236,2000-06-07,2006-06-28,253.0,126.0,127.0,1204.3810193276606,1491.9618850245354,1166.460436318005
Giyong,919,729,2000-06-28,2000-06-28,1.0,1.0,0.0,1227.589026758073,1227.589026758073,1200.0
BaNulDoDuk,409,318,2000-06-29,2001-07-20,32.0,19.0,13.0,1278.098429507093,1403.7538729567034,1200.0
JungWon,890,700,2000-02-11,2001-06-25,11.0,6.0,5.0,1325.5397410313597,1325.5397410313597,1168.055832691877
RedRock,423,332,2000-07-20,2001-02-02,8.0,2.0,6.0,1122.9322557894004,1270.7900830937135,1122.9322557894004
SiR@SoNi,328,237,2000-07-20,2007-08-10,341.0,177.0,164.0,1218.8832525093264,1504.6647611328465,1176.4468023204415
gildong,884,694,2000-07-20,2000-07-20,3.0,1.0,2.0,1168.7497200466864,1202.909901249281,1168.7497200466864
SeHyun,889,699,2000-07-19,2000-07-20,4.0,1.0,3.0,1148.4689816335228,1210.2485542823417,1148.4689816335228
FlyToTheSky,433,342,2000-07-20,2000-11-01,18.0,8.0,10.0,1262.697609089452,1300.839777973038,1177.3500514744296
HanUl,859,670,2000-07-20,2001-08-01,7.0,2.0,5.0,1145.2434009496578,1234.546425738604,1145.2434009496578
hyunzinjang,997,806,2000-07-20,2000-11-20,6.0,1.0,5.0,1087.963518324787,1232.0,1087.963518324787
S.E.S,397,306,2000-06-07,2002-03-16,38.0,15.0,23.0,1145.6654214912153,1336.5946048265553,1145.6654214912153
ShinSsC,430,339,2000-07-20,2001-06-27,32.0,13.0,19.0,1170.2041552987864,1269.4484358495067,1170.2041552987864
ComBi,408,317,2000-07-31,2002-08-26,86.0,40.0,46.0,1244.9151738218463,1389.9879614560202,1171.577049275376
[Oops]Season,396,305,2000-07-31,2000-11-21,12.0,6.0,6.0,1265.812413819168,1326.8929637581712,1199.057091116228
KIMWANCHUL,365,274,2000-03-26,2005-04-09,127.0,66.0,61.0,1277.3651017128,1420.1634516519346,1182.29515979578
JunioR,336,245,2000-08-13,2005-04-09,263.0,132.0,131.0,1264.9188159746368,1437.509491601415,1159.0377281900505
Rage,231,224,2000-08-17,2009-05-01,362.0,185.0,177.0,1186.537884107724,1511.1649753689787,1186.537884107724
Side,194,188,2000-08-27,2006-06-28,383.0,197.0,186.0,1179.1430074704936,1503.7492137467245,1179.1430074704936
I.Love_Star,372,281,2000-01-23,2002-07-20,32.0,13.0,19.0,1100.816041144692,1335.652648230996,1135.1207132941258
Slayer,978,788,2000-08-27,2000-08-27,4.0,3.0,1.0,1274.476828470823,1274.476828470823,1200.0
Autumn,332,241,2000-09-05,2004-10-19,221.0,104.0,117.0,1318.0043490562775,1406.0434445775654,1168.1438323802683
hspark,987,796,2000-10-01,2000-10-01,2.0,1.0,1.0,1196.973346234976,1232.0,1200.0
OneYURI,983,792,2000-10-01,2001-09-01,4.0,2.0,2.0,1214.927568356108,1268.6402694074106,1200.0
Purin,868,678,2000-10-01,2001-06-05,8.0,4.0,4.0,1164.3369635170454,1275.5270225583604,1200.0
YoungSoo,871,681,2000-10-01,2001-06-05,16.0,8.0,8.0,1176.1291762354767,1333.4820578393642,1200.0
changho,986,795,2000-10-01,2000-10-01,2.0,1.0,1.0,1215.438766741417,1245.6327286891083,1200.0
JIN,799,613,2000-10-01,2002-10-19,31.0,12.0,19.0,1205.4092332795835,1295.859485990087,1140.391635775043
wooh,981,790,2000-10-01,2000-10-01,4.0,3.0,1.0,1266.8576958027788,1296.0731946869923,1200.0
sungpil,975,785,2000-01-01,2000-10-01,5.0,3.0,2.0,1238.2832015461322,1269.2405345085824,1173.4718499643454
khkim,985,794,2000-10-01,2000-10-01,2.0,1.0,1.0,1200.0,1232.0,1200.0
[kor]-Rain,395,304,2000-10-01,2004-09-02,114.0,44.0,70.0,1205.8226535571348,1387.3216652778897,1199.6666760942296
GoRush,8,7,2000-10-01,2011-02-14,617.0,341.0,276.0,1303.8253643310268,1705.5329550953377,1174.8217072486286
SeungYup,384,293,2000-10-01,2001-11-23,6.0,1.0,5.0,1145.291016324874,1232.0,1145.291016324874
giwon,982,791,2000-10-01,2000-10-01,3.0,2.0,1.0,1230.718398615194,1264.0,1200.0
donggi,984,793,2000-10-01,2000-10-01,2.0,1.0,1.0,1220.6197128411507,1232.0,1200.0
zungyu,909,719,2000-10-01,2001-09-01,5.0,3.0,2.0,1254.708528167749,1300.6179496613822,1200.0
Diviner)KS,375,284,2000-10-01,2001-03-23,13.0,9.0,4.0,1297.175704645109,1333.9552845782925,1200.0
joun,809,623,2000-10-01,2002-10-19,12.0,4.0,8.0,1097.2850437637248,1232.0,1097.2850437637248
)Is(aTTaCk,416,325,2000-10-02,2002-10-19,65.0,30.0,35.0,1207.7990757157083,1363.9529724334586,1200.0
Keither,800,614,2000-10-02,2002-10-19,16.0,5.0,11.0,1092.8299256037108,1229.1429642718858,1092.8299256037108
YongHoon,924,734,2000-10-02,2001-02-02,8.0,3.0,5.0,1170.9082276058,1233.2657393162901,1171.396213878012
hunzo,1046,854,2000-10-05,2000-12-26,13.0,7.0,6.0,1207.2987736491443,1284.6890247423626,1174.2733533484206
sehwan,1074,882,2000-10-09,2000-10-30,2.0,1.0,1.0,1193.8226422305947,1228.4358483149078,1193.8226422305947
kyunghoon,771,585,2000-10-09,2003-02-16,37.0,14.0,23.0,1044.195595672683,1334.7644191483255,1044.195595672683
wooyul,943,753,2000-03-26,2001-02-02,11.0,4.0,7.0,1156.9886997300978,1234.8245122642463,1156.9886997300978
SoonTae,942,752,2000-10-12,2001-02-02,9.0,2.0,7.0,1077.611368818828,1258.1711618358436,1077.611368818828
ilJae,866,676,2000-10-05,2001-06-05,26.0,15.0,11.0,1191.533687001727,1398.6115847635344,1191.533687001727
JaeWoong,848,660,2000-10-16,2001-11-01,17.0,6.0,11.0,1133.4039216088054,1299.5144761716529,1133.4039216088054
Salmosa,413,322,2000-10-16,2005-04-09,118.0,41.0,77.0,1212.239882389621,1290.4229669399856,1178.7555534187459
Taesu,1055,863,2000-10-19,2000-12-14,6.0,3.0,3.0,1209.223677293645,1234.8713153907088,1197.0494904352781
TaewoO,341,250,2000-10-20,2002-03-16,69.0,37.0,32.0,1311.8464067563527,1422.7177590200356,1200.0
JungHyun,929,739,2000-10-20,2001-06-25,2.0,1.0,1.0,1194.935166147976,1232.0,1200.0
IloveU,925,735,2000-10-20,2001-02-07,12.0,5.0,7.0,1159.645628951041,1293.9105979716287,1159.645628951041
chungsik,934,744,2000-10-20,2000-12-26,4.0,1.0,3.0,1125.9572722778832,1232.0,1125.9572722778832
Sea.Day,843,657,2000-08-27,2001-11-01,20.0,7.0,13.0,1070.5456444540537,1275.4146117171827,1070.5456444540537
HyukZoo,875,685,2000-10-20,2001-06-05,14.0,8.0,6.0,1254.0963770675319,1332.1501817769822,1200.0
GiChul,944,754,2000-06-22,2001-08-10,13.0,2.0,11.0,1033.679080860298,1200.0,1033.679080860298
SUKHO,832,646,2000-10-23,2002-06-05,6.0,2.0,4.0,1140.4389604062883,1232.0,1140.4389604062883
irradiates,788,602,2000-10-23,2002-10-19,42.0,15.0,27.0,1133.0142046275269,1322.962411121418,1133.0142046275269
[z-zone]SoO,425,334,2000-08-27,2001-09-12,39.0,23.0,16.0,1394.2356534313333,1414.4319212355229,1186.9915360094972
sungzoon,931,741,2000-10-24,2000-10-24,1.0,1.0,0.0,1233.7667829202512,1233.7667829202512,1200.0
LeadeR,348,257,2000-10-30,2003-04-16,77.0,33.0,44.0,1190.883489798937,1415.44962184044,1197.639223320298
InToFor,840,654,2000-10-30,2002-03-16,20.0,10.0,10.0,1203.375697053331,1356.416513875135,1200.0
Oddysay,233,226,2000-10-30,2005-01-17,277.0,154.0,123.0,1290.7012052992318,1574.6503810076933,1200.0
TheWinD,78,76,2000-10-30,2007-08-10,306.0,140.0,166.0,1099.5244116603994,1467.495700879268,1099.5244116603994
KWJ,1077,885,2000-10-23,2000-10-30,2.0,1.0,1.0,1201.4339659676436,1201.4339659676436,1168.0
