date,league,map,winner,loser,league_id,map_id,winner_id,loser_id
9/22/2012,SKP12 Proleague S2,Neo Ground Zero,Snow,Shine,2834,546,652,623
9/22/2012,SKP12 Proleague S2,Neo Jade,Horang2,Reality,2834,545,630,712
9/9/2012,SKP12 Proleague S2,Neo Electric Circuit,Rain,sKyHigh,2834,536,697,554
9/9/2012,SKP12 Proleague S2,New Sniper Ridge,sSak,Hydra,2834,547,636,610
9/7/2012,SKP12 Proleague S2,Neo Electric Circuit,soO,Leta,2834,536,634,185
9/7/2012,SKP12 Proleague S2,New Sniper Ridge,FanTaSy,EffOrt,2834,547,6,581
9/2/2012,SKP12 Proleague S2,New Sniper Ridge,sSak,TY,2834,547,636,575
9/2/2012,SKP12 Proleague S2,Neo Jade,Rain,Jaedong,2834,545,697,211
9/2/2012,SKP12 Proleague S2,Neo Electric Circuit,by.hero,FanTaSy,2834,536,82,6
9/1/2012,SKP12 Proleague S2,Neo Electric Circuit,BeSt,Movie,2834,536,16,564
9/1/2012,SKP12 Proleague S2,New Sniper Ridge,Bisu,Sea,2834,547,125,108
8/26/2012,SKP12 Proleague S2,Neo Ground Zero,soO,Jila,2834,546,634,84
8/26/2012,SKP12 Proleague S2,New Sniper Ridge,FanTaSy,Canata,2834,547,6,1
8/26/2012,SKP12 Proleague S2,New Sniper Ridge,Light,Stats,2834,547,109,611
8/26/2012,SKP12 Proleague S2,Neo Jade,Soulkey,Flash,2834,545,647,424
8/26/2012,SKP12 Proleague S2,Neo Ground Zero,Action,free,2834,546,626,175
8/25/2012,SKP12 Proleague S2,Neo Jade,Stork,Jaehoon,2834,545,59,124
8/25/2012,SKP12 Proleague S2,Neo Electric Circuit,Shine,Tyson,2834,536,623,128
8/25/2012,SKP12 Proleague S2,New Sniper Ridge,Bbyong,Calm,2834,547,638,76
8/25/2012,SKP12 Proleague S2,Neo Jade,Mini,Snow,2834,545,1102,652
8/25/2012,SKP12 Proleague S2,Neo Electric Circuit,Leta,Classic,2834,536,185,680
8/21/2012,SKP12 Proleague S2,New Sniper Ridge,PianO,BarrackS,2834,547,92,553
8/21/2012,SKP12 Proleague S2,Neo Jade,GuemChi,Zest,2834,545,544,977
8/21/2012,SKP12 Proleague S2,Neo Electric Circuit,Crazy,Great,2834,536,536,58
8/20/2012,SKP12 Proleague S2,Neo Ground Zero,TY,herO[jOin],2834,546,575,682
8/20/2012,SKP12 Proleague S2,Neo Electric Circuit,Jaedong,EffOrt,2834,536,211,581
8/20/2012,SKP12 Proleague S2,New Sniper Ridge,sKyHigh,Movie,2834,547,554,564
8/19/2012,SKP12 Proleague S2,New Sniper Ridge,Trap,Iris,2834,547,618,129
8/19/2012,SKP12 Proleague S2,Neo Ground Zero,Last,Peace,2834,546,664,557
8/19/2012,SKP12 Proleague S2,Neo Electric Circuit,ZerO,RorO,2834,536,174,622
8/19/2012,SKP12 Proleague S2,New Sniper Ridge,sOs,JangBi,2834,547,1101,63
8/18/2012,SKP12 Proleague S2,Neo Ground Zero,Flash,Tyson,2834,546,424,128
8/18/2012,SKP12 Proleague S2,Neo Electric Circuit,Sea,HoeJJa,2834,536,108,32
8/18/2012,SKP12 Proleague S2,Neo Jade,Stats,Jaehoon,2834,545,611,124
8/18/2012,SKP12 Proleague S2,New Sniper Ridge,Sacsri,Bbyong,2834,547,654,638
8/18/2012,SKP12 Proleague S2,Neo Jade,Rain,Hush,2834,545,697,3220
8/18/2012,SKP12 Proleague S2,Neo Ground Zero,Snow,BeSt,2834,546,652,16
8/14/2012,SKP12 Proleague S2,New Sniper Ridge,soO,Soulkey,2834,547,634,647
8/14/2012,SKP12 Proleague S2,Neo Jade,FanTaSy,BrAvO,2834,545,6,689
8/14/2012,SKP12 Proleague S2,Neo Electric Circuit,Light,Bisu,2834,536,109,125
8/13/2012,SKP12 Proleague S2,New Sniper Ridge,Reality,Shuttle,2834,547,712,86
8/13/2012,SKP12 Proleague S2,Neo Jade,Classic,Stork,2834,545,680,59
8/13/2012,SKP12 Proleague S2,Neo Ground Zero,Shine,hyvaa,2834,546,623,583
8/12/2012,SKP12 Proleague S2,New Sniper Ridge,Jaedong,BeSt,2834,547,211,16
8/12/2012,SKP12 Proleague S2,Neo Jade,Movie,Sacsri,2834,545,564,654
8/12/2012,SKP12 Proleague S2,Neo Jade,Zest,herO[jOin],2834,545,977,682
8/12/2012,SKP12 Proleague S2,New Sniper Ridge,Mind,sKyHigh,2834,547,146,554
8/12/2012,SKP12 Proleague S2,Neo Ground Zero,EffOrt,Action,2834,546,581,626
8/11/2012,SKP12 Proleague S2,Neo Ground Zero,Trap,sOs,2834,546,618,1101
8/11/2012,SKP12 Proleague S2,Neo Electric Circuit,Calm,ZerO,2834,536,76,174
8/11/2012,SKP12 Proleague S2,Neo Jade,Flying,Last,2834,545,643,664
8/11/2012,SKP12 Proleague S2,Neo Ground Zero,JangBi,OriOn,2834,546,63,137
8/11/2012,SKP12 Proleague S2,Neo Electric Circuit,RorO,Great,2834,536,622,58
8/11/2012,SKP12 Proleague S2,Neo Jade,GuemChi,TurN,2834,545,544,948
8/7/2012,SKP12 Proleague S2,Neo Electric Circuit,Horang2,Stork,2834,536,630,59
8/7/2012,SKP12 Proleague S2,Neo Ground Zero,Snow,JuNi,2834,546,652,54
8/7/2012,SKP12 Proleague S2,Neo Jade,Reality,Bbyong,2834,545,712,638
8/6/2012,SKP12 Proleague S2,Neo Ground Zero,Soulkey,Canata,2834,546,647,1
8/6/2012,SKP12 Proleague S2,Neo Jade,free,Jila,2834,545,175,84
8/5/2012,SKP12 Proleague S2,Neo Electric Circuit,Stats,RorO,2834,536,611,622
8/5/2012,SKP12 Proleague S2,Neo Ground Zero,Flash,TurN,2834,546,424,948
8/5/2012,SKP12 Proleague S2,New Sniper Ridge,JangBi,Crazy,2834,547,63,536
8/5/2012,SKP12 Proleague S2,Neo Ground Zero,soO,Mini,2834,546,634,1102
8/5/2012,SKP12 Proleague S2,Neo Jade,Bisu,Shuttle,2834,545,125,86
8/4/2012,SKP12 Proleague S2,New Sniper Ridge,EffOrt,PianO,2834,547,581,92
8/4/2012,SKP12 Proleague S2,Neo Electric Circuit,sKyHigh,Chavi,2834,536,554,594
8/4/2012,SKP12 Proleague S2,Neo Jade,Jaehoon,Flying,2834,545,124,643
8/4/2012,SKP12 Proleague S2,New Sniper Ridge,Sea,sOs,2834,547,108,1101
8/4/2012,SKP12 Proleague S2,Neo Electric Circuit,ZerO,by.hero,2834,536,174,82
8/4/2012,2012 tving OSL,(?),JangBi,FanTaSy,2806,,63,6
8/4/2012,2012 tving OSL,Neo Electric Circuit,JangBi,FanTaSy,2806,536,63,6
8/4/2012,2012 tving OSL,New Sniper Ridge,FanTaSy,JangBi,2806,547,6,63
8/4/2012,2012 tving OSL,Neo Ground Zero,JangBi,FanTaSy,2806,546,63,6
7/31/2012,SKP12 Proleague S2,New Sniper Ridge,Shine,sSak,2834,547,623,636
7/31/2012,SKP12 Proleague S2,Neo Electric Circuit,Stork,BeSt,2834,536,59,16
7/31/2012,SKP12 Proleague S2,Neo Jade,Iris,Terminator,2834,545,129,2038
7/31/2012,SKP12 Proleague S2,Neo Ground Zero,Canata,Jaedong,2834,546,1,211
