player_name,player_id,player_id_enc,player_race
Canata,1,0,Terran
Dove,2,1,Terran
Shudder,3,2,Terran
Midas,4,3,Terran
iloveoov,5,4,Terran
FanTaSy,6,5,Terran
Hyuk,7,6,Zerg
GoRush,8,7,Zerg
LaKe[Name],9,8,Zerg
Rumble,10,9,Zerg
AnomiA,11,10,Zerg
s2,12,11,Zerg
punsoo,13,12,Zerg
Doctor.K,14,13,Protoss
RainBOw,15,14,Protoss
BeSt,16,15,Protoss
Lx,17,16,Protoss
MuJuK,18,17,Protoss
Pj,19,18,Protoss
Kingdom,20,19,Protoss
Sia,21,20,Protoss
Goodfriend,22,21,Terran
Sync,23,22,Terran
Hery,24,23,Terran
Center[Name],25,24,Terran
SuperNova,26,25,Terran
Major,27,26,Terran
ChoJJa,28,27,Zerg
NesTea,29,28,Zerg
aQua,30,29,Zerg
815,31,30,Zerg
HoeJJa,32,31,Zerg
NsP_Destiny,33,32,Zerg
RaiD,34,33,Zerg
Haran,35,34,Zerg
GARIMTO,36,35,Protoss
Nal_rA,37,36,Protoss
Reach,38,37,Protoss
Oops,39,38,Protoss
LuCifer,40,39,Protoss
Tempest,42,40,Protoss
firebathero,43,41,Terran
FrOzen,44,42,Terran
Miracle,45,43,Terran
CuteBOy,46,44,Terran
DoGGi,47,45,Terran
Freedom,48,46,Terran
roro[white],49,47,Terran
SaferZerg,50,48,Zerg
ZergMaN,51,49,Zerg
JJu,52,50,Zerg
Navy,53,51,Zerg
JuNi,54,52,Zerg
sigamari,55,53,Zerg
JiHyun,56,54,Zerg
oDin,57,55,Zerg
Great,58,56,Zerg
Stork,59,57,Protoss
TT,60,58,Protoss
GGon,61,59,Protoss
ASuka-Jr,62,60,Protoss
JangBi,63,61,Protoss
yoOn,64,62,Protoss
Sheis,65,63,Terran
ToSsGirL,66,64,Terran
l[Es]l.MaRinE,67,65,Terran
Hwasin,68,66,Terran
Eavan,69,67,Terran
TheStC,70,68,Terran
Yooi,71,69,Terran
Child,72,70,Zerg
Terror,73,71,Zerg
KwanHyung,74,72,Zerg
CCoMa,75,73,Zerg
Calm,76,74,Zerg
Kai,77,75,Zerg
TheWinD,78,76,Zerg
MinGui,79,77,Zerg
Chise,80,78,Zerg
Ever)Z(Herb,81,79,Zerg
by.hero,82,80,Zerg
island,83,81,Zerg
Jila,84,82,Protoss
Vical,85,83,Protoss
Shuttle,86,84,Protoss
GoZip,87,85,Protoss
SoO_STX,88,86,Protoss
ArtOfTerran,89,87,Terran
UpMaGiC,90,88,Terran
Suny,91,89,Terran
PianO,92,90,Terran
Bassen,93,91,Terran
jaurim,95,92,Terran
PuMa,96,93,Terran
FruitDealer,97,94,Zerg
maGma,98,95,Zerg
ArtOfZerg,99,96,Zerg
AcE,100,97,Zerg
ELIZA,101,98,Zerg
bongKR,102,99,Zerg
TricKsteR,103,100,Protoss
Soha,104,101,Protoss
TossLife,105,102,Protoss
Swagger,106,103,Protoss
sOyeon,107,104,Protoss
Sea,108,105,Terran
Light,109,106,Terran
910,110,107,Terran
RuBy,112,108,Terran
kkong,113,109,Terran
Clide,114,110,Terran
koala,115,111,Terran
Saint,116,112,Zerg
July,117,113,Zerg
Shark,118,114,Zerg
Sz.1,119,115,Zerg
HyuN,120,116,Zerg
dOkSa,121,117,Zerg
Thezerg,122,118,Zerg
Drug,123,119,Zerg
Jaehoon,124,120,Protoss
Bisu,125,121,Protoss
Pusan,126,122,Protoss
Junitoss,127,123,Protoss
Tyson,128,124,Protoss
Iris,129,125,Terran
XellOs,130,126,Terran
DarkElf,131,127,Terran
Orange,132,128,Terran
Memory,133,129,Terran
][Min][Gu][,134,130,Zerg
sAviOr,135,131,Zerg
OversKy,136,132,Zerg
OriOn,137,133,Zerg
Kwanro,140,134,Zerg
JoJoBa,141,135,Zerg
Much,142,136,Protoss
Nbs,143,137,Protoss
pepe,144,138,Terran
Control,145,139,Terran
Mind,146,140,Terran
NaDa,147,141,Terran
Ho,148,142,Terran
Rhythm,149,143,Terran
Stay,150,144,Zerg
Silver,151,145,Zerg
keke,152,146,Zerg
FireFist,153,147,Zerg
zErG.cOm,154,148,Zerg
Rock,155,149,Protoss
Pure,156,150,Protoss
SSoja,157,151,Protoss
HoOny,158,152,Protoss
HerO_V_,159,153,Protoss
GanZi,160,154,Terran
Kuni,161,155,Terran
Special,162,156,Terran
JSL,163,157,Terran
U-238,164,158,Terran
kick,165,159,Terran
Dasi,166,160,Terran
GGPlay,167,161,Zerg
Junwi,168,162,Zerg
bOy,169,163,Zerg
Max,170,164,Zerg
JungHoon,171,165,Zerg
CryStal,172,166,Zerg
HaZin,173,167,Zerg
ZerO,174,168,Zerg
free,175,169,Protoss
FanTastic,176,170,Protoss
DaezanG,177,171,Protoss
PokJu,178,172,Protoss
Superman,179,173,Protoss
mingu,180,174,Protoss
Shine[Name],181,175,Terran
Justin,182,176,Terran
go.go,183,177,Terran
kOs,184,178,Terran
Leta,185,179,Terran
[Oops]ClouD,186,180,Terran
Casy,187,181,Terran
By.1st,188,182,Terran
YellOw[ArnC],189,183,Zerg
Luxury,190,184,Zerg
Flower,191,185,Zerg
HoGiL,192,186,Zerg
maRie,193,187,Zerg
Side,194,188,Zerg
type-b,195,189,Zerg
